ability|능력
experiment|실험
hypothesis|가설
apparatus|기구, 장치
vacuum|진공
equilibrium|평형
solid|고체, 단단한
liquid|액체
fluid|유체, 부드러운
dissolve|녹이다
dilute|희석하다
vapor|증기
condense|응결되다
combustion|연소
chemical|화학의, 화학 물질
compound|화합물
particle|입자
molecule|분자
atom|원자
carbon|탄소
hydrogen|수소
physics|물리학
mass|질량, 덩어리
gravity|중력
magnet|자석
friction|마찰
elastic|탄력 있는
magnitude|규모
electronic|전자의
electric|전기의
circuit|회로
spectrum|스펙트럼
proximity|인접성, 근접
modernization|현대화
astronomy|천문학
cosmos|우주
solar|태양의
satellite|위성
telescope|망원경
probe|탐사선, 조사하다
alien|외계인, 이질적인
compute|계산하다
subtract|빼다
multiply|곱하다
equate|동일시하다
approximate|대략의
formula|공식
arithmetic|산수
numerical|수의
numerous|수많은
maximum|최대
minimize|최소화하다
statistics|통계학
gross|총계의, 징그러운
ratio|비율
proportion|비율, 부분
variable|변수
correlation|상관관계
geometry|기하학
linear|선의
curve|곡선
spiral|나선형의
sphere|구
oval|타원형
dimension|차원, 크기
length|길이
diameter|지름
anatomy|해부학
physiology|생리학
spine|척추
skull|두개골
limb|팔다리
forehead|이마
beard|수염
adversary|적, 상대방
organ|기관, 장기
tissue|조직, 휴지
flesh|살
vein|정맥
nerve|신경
neural|신경의
sensation|감각
sight|시력, 시야
naked|벌거벗은
auditory|청각의
pulse|맥박
breathe|숨 쉬다
respiration|호흡
inhale|들이마시다
sanction|제재, 승인
motor|모터, 운동의
athletic|운동 경기의
efficient|효율적인
gymnastics|체조
sprint|단거리 달리기
metabolism|신진대사
diet|식단, 다이어트
nourish|영양분을 공급하다
slim|날씬한
obesity|비만
longevity|장수
hygiene|위생
sanitation|위생 시설
weary|지친
fatigue|피로
shiver|떨다
sneeze|재채기하다
choke|숨이 막히다
bruise|멍
sprain|삐다
swell|부어오르다
inflame|염증을 일으키다
sore|아픈
allergic|알레르기가 있는
itch|가려움
stiffen|뻣뻣해지다
disabled|장애를 가진
impair|손상시키다
trauma|트라우마, 외상
deadly|치명적인
contagious|전염성의
plague|전염병, 괴롭히다
epidemic|유행병
outbreak|발발
chronic|만성적인
influenza|독감
asthma|천식
diabetes|당뇨병
cure|치료하다
remedy|해결책, 치료법
soothe|달래다
medical|의학의
clinic|진료소
physician|의사
diagnose|진단하다
surgery|수술
transplant|이식하다
pharmacy|약국
prescribe|처방하다
medication|약물 치료
dose|복용량
painkiller|진통제
antibiotic|항생제
vaccine|백신
inject|주사하다
apart from|~외에는, ~을 제외하고
far from|결코 ~가 아닌
as to|~에 관하여
by far|단연코
call for|~을 요구하다
come across|우연히 마주치다
come up with|생각해내다
consist of|~로 구성되다
make up|구성하다, 화장
end up|결국 ~하게 되다
free of|~이 없는
get rid of|~을 제거하다
hand in|제출하다
at hand|가까이에 있는
in advance|미리
in addition to|~에 더하여
in terms of|~의 관점에서
in turn|차례로, 결과적으로
leave out|빠뜨리다, 생략하다
refer to|언급하다, 참조하다
regardless of|~에 상관없이
take on|떠맡다, (형태를) 띠다
take over|넘겨받다
take up|차지하다, 시작하다
take care of|돌보다
look for|찾다
in that|~라는 점에서
take place|발생하다
take part in|참여하다
turn out|판명되다
cope with|대처하다
deal with|다루다
due to|~때문에
result from|~에서 기인하다
anything but|결코 ~이 아닌
nothing but|오직, 단지 ~일 뿐
all but|거의
long for|갈망하다
pass away|사망하다
at once|즉시, 동시에
by|~에 의하여, 옆에
bring about|야기하다
bring out|끌어내다, 출시하다
bring up|기르다, 언급하다
build up|축적하다, 기르다
carry on|계속하다
carry out|수행하다
a series of|일련의
account for|설명하다, 차지하다
along with|~와 함께
catch up with|따라잡다
keep up with|뒤처지지 않다
draw on|의지하다
resort to|의지하다
stick to|고수하다
hold on|기다리다, 꽉 잡다
hold up|지연시키다, 떠받치다
in charge of|~을 담당하는
in the face of|~에도 불구하고, 직면하여
in itself|그것 자체로
in place|제자리에, 준비된
work out|운동하다, 해결하다
wear out|닳게 하다, 지치게 하다
run out|다 떨어지다
keep in mind|명심하다
lay out|펼치다, 배치하다
set out|출발하다, 착수하다
set aside|확보하다, 제쳐두다
have nothing to do with|~와 관련이 없다
lead to|~로 이끌다
pay off|성과를 거두다, 빚을 갚다
pick out|고르다
take|취하다, 데려가다
take in|섭취하다, 속이다
on behalf of|~을 대신하여
for the sake of|~을 위하여
advocate|옹호하다
entail|수반하다
withhold|보류하다
dispute|논쟁하다
intervene|개입하다
roar|으르렁거리다
refrain|삼가다
embed|박아 넣다
immerse|푹 빠지게 하다
setback|차질, 실패
entangle|얽히게 하다
tangible|유형의, 만질 수 있는
enlighten|계몽하다, 이해시키다
inflict|가하다, 안기다
incur|초래하다
legitimate|정당한, 합법적인
render|만들다, 제공하다
realm|영역, 왕국
terrain|지형
discourse|담론, 강연
improvise|즉흥적으로 하다
patron|후원자, 단골손님
crude|천연 그대로의, 대충의
imperative|필수적인
plausible|그럴듯한
slaughter|도살하다
spur|자극하다
stroll|산책하다
surge|급증하다
surmount|극복하다
undermine|약화시키다
defy|반항하다
duplicate|복제하다
synthetic|합성의
susceptible|민감한, 영향을 받기 쉬운
counteract|대응하다, 상쇄하다
counterattack|반격하다
rigorous|엄격한
vigorous|활발한
insomnia|불면증
ascend|오르다
strenuous|격렬한
solidarity|연대, 결속
wither|시들다
predominant|지배적인
preliminary|예비의
predecessor|전임자
demolish|파괴하다
alleviate|완화하다
aggravate|악화시키다
deterioration|악화
afflict|괴롭히다
peril|위험
compress|압축하다
segregation|분리, 차별
hierarchy|계급, 위계질서
salient|현저한, 두드러진
subordinate|종속된, 부하
diffusion|확산
disperse|흩어지다
converge|모이다
shred|조각, 찢다
adorn|장식하다
adore|몹시 좋아하다
benevolent|자비로운
altruism|이타주의
imprudent|경솔한
subsidy|보조금
subside|가라앉다
submerge|잠수하다
subdue|진압하다
transcribe|기록하다, 번역하다
thrust|밀치다
backfire|역효과를 낳다
curb|억제하다
detract|손상시키다
blunt|무딘, 퉁명스러운
alienate|소외시키다
qualitative|질적인
formidable|가공할, 만만찮은
affluent|부유한
indigenous|토착의
consecutive|연속적인
demoralize|사기를 꺾다
elusive|피하는, 알기 어려운
resilient|회복력 있는, 탄력 있는
endow|부여하다, 기부하다
gratify|기쁘게 하다
intricate|복잡한
intrude|침범하다
mandate|명령, 권한
monotonous|단조로운
homogeneous|동종의
conspicuous|눈에 띄는
catalyst|촉매(제), 기폭제
pitfall|함정, 위험
delude|속이다
propel|나아가게 하다
refute|반박하다
replicate|복제하다
scrutiny|정밀 조사
fallacy|오류
retrospect|회고, 추억
static|정적인
heredity|유전
viability|실행 가능성
demographic|인구(통계)학의
tranquility|평온
perpetual|영구적인
rehabilitate|재활 치료를 하다, 복원하다
utilitarian|실용적인
empirical|경험적인, 실증적인
marginal|미미한, 주변부의
zealous|열성적인
indispensable|필수 불가결한
ubiquitous|어디에나 있는
impoverished|빈곤한
unanimously|만장일치로
instantaneously|즉각적으로
persevere|인내하며 계속하다
materialism|물질주의
mundane|평범한, 일상적인
inert|무기력한, 비활성의
brood|알을 품다, 곰곰이 생각하다
ascribe|~의 탓으로 돌리다
quantitative|양적인
propaganda|선전
chronicle|연대기, 기록
hands-on|직접 해보는
latently|잠재적으로
complexity|복잡성, 복잡함
interdependence|상호 의존
forefather|선조
premise|전제
doctrine|교리, 원칙
utility|유용성, 실용성
reliable|믿을 수 있는
aviation|항공
synergy|시너지, 협동 효과
discrepancy|차이, 불일치
aristocrat|귀족
infuse|불어넣다
beneficent|선행을 베푸는
abound|풍부하다
exhaustively|철저하게
suffice|충분하다
precedent|선례, 전례
overabundant|과잉의
forthright|솔직한
deduce|추론하다
disprove|논박하다
inaudible|들리지 않는
curtail|축소하다, 줄이다
culinary|요리의
invoke|기원하다, 적용하다
inconceivable|상상할 수 없는
augment|늘리다, 증대시키다
afloat|물에 뜬, 빚을 지지 않은
schema|개요, 윤곽
capitalism|자본주의
consolidate|통합하다, 강화하다
entitlement|자격, 권리
commercialization|상업화
imperceptible|감지할 수 없는
deter|단념시키다, 방해하다
humanitarian|인도주의적인
polarization|양극화
deficit|적자
sensual|감각적인
a host of|다수의
irrespective of|~에 상관없이
vulgar|저속한
toddler|걸음마를 배우는 아이
idle|게으른, 가동되지 않는
concerted|합심한, 결연한
averse|싫어하는
endorse|지지하다, 배서하다
intelligible|이해할 수 있는
inadvertently|무심코, 우연히
excerpt|발췌
beneficiary|수혜자
transnational|다국적의
iconic|상징적인
centralization|중앙 집중화
staple|주식, 주요한
advisory|자문의, 경보
airborne|공중에 떠 있는, 비행 중인
correlate|상관관계를 보여주다
neurological|신경학의
deconstruct|해체하다
hallmark|특징
erroneously|잘못하여
hard-wired|타고난, 고정된
jeopardize|위태롭게 하다
consensus|합의
prerequisite|전제 조건
coalesce|합치다, 하나로 모이다
biosphere|생물권
agonize|고뇌하다
on the verge of|막 ~하려는 찰나에
obsolete|구식의, 쓸모없는
opaque|불투명한
ambivalent|반대 감정이 병존하는
mandatory|의무적인
pervasive|만연하는
prevalent|널리 퍼진
plentiful|풍부한
ample|충분한
resilience|회복력, 탄성
sterile|불임의, 살균한
productive|생산적인
lucrative|수익성이 좋은
profitable|이익이 되는
beneficial|유익한
detrimental|해로운
generalization|일반화
mortal|죽어야 할 운명의, 치명적인
transient|일시적인
enduring|지속되는
lasting|영속적인
standardization|표준화
counterfeit|위조의
acquired|후천적인, 획득한
learned|학습된, 학식 있는
intentional|의도적인
accidental|우연한
haphazard|무계획적인
organized|조직화된
chaotic|혼돈 상태인
disorderly|무질서한
neat|단정한, 깔끔한
messy|지저분한
surmise|추측하다, 추정하다
boycott|거부하다, 불참하다
emancipation|해방
careless|부주의한
negligent|태만한
cautious|조심스러운
prudent|신중한
rash|무분별한, 발진
daring|대담한
courageous|용기 있는
fearless|두려움을 모르는
valiant|용맹한
heroic|영웅적인
validity|타당성, 유효성
haughty|오만한
conceited|자만하는
altruistic|이타적인
charitable|자선심이 많은
stingy|인색한
miserly|구두쇠 같은
frugal|절약하는
extravagant|낭비하는
lavish|사치스러운, 풍성한
luxurious|호화로운
implication|함축, 암시, 영향
preach|설교하다
preclude|배제하다
predominate|지배적이다, 우위를 차지하다
procure|구하다, 조달하다
prosecute|기소하다
purify|정화하다
quench|갈증을 풀다, 불을 끄다
reap|거두다, 수확하다
recede|물러나다, 약해지다
reckon|계산하다, 생각하다
reconcile|화해시키다
rectify|바로잡다
redeem|만회하다, 구원하다
reimburse|배상하다
rekindle|다시 불붙이다
relinquish|포기하다
renounce|포기하다, 단념하다
confiscate|압수하다, 몰수하다
reproach|비난하다
repudiate|거부하다, 부인하다
resonance|공명, 울림
accountability|책임, 의무
retaliate|보복하다
retard|지연시키다
parameter|매개변수, 한도
dichotomy|이분법
revoke|취소하다, 철회하다
asymmetry|비대칭
salvage|구조하다
scrutinize|세밀히 조사하다
segregate|분리하다
reciprocity|상호 호혜성
elucidate|설명하다, 밝히다
overevaluate|과대평가하다
smuggle|밀수하다
sober|술 취하지 않은, 냉철한
solicit|간청하다
underevaluate|과소평가하다
deviate|벗어나다, 빗나가다
stipulate|규정하다
articulate|분명히 표현하다
subsidize|보조금을 주다
summon|소환하다
synchronize|동시에 발생하다
synthesize|합성하다
tangle|얽히게 하다
testify|증언하다
sustainable|지속 가능한
tilt|기울이다
volatile|변동성이 큰, 휘발성의
neutrality|중립성
transcend|초월하다
versatile|다재다능한
pragmatic|실용적인
unanimous|만장일치의
anomaly|변칙, 이례
saturate|흠뻑 적시다
deteriorate|악화되다
feasible|실행 가능한
implicit|함축적인, 암시된
coerce|강요하다
cohesive|결속력 있는
comprehensive|포괄적인, 종합적인
elicit|이끌어내다
exacerbate|악화시키다
exemplary|모범적인
mitigate|완화시키다
offset|상쇄하다
perpetuate|영속시키다
proliferation|급증, 확산
stagnant|침체된
superfluous|불필요한
unprecedented|전례 없는
vibrant|활기찬
vigilant|경계하는
bolster|강화하다
